1.0 NONTERMINAL NP+ADVP
254.0 NONTERMINAL VP+VERB
65.0 NONTERMINAL SBAR
3405.0 NONTERMINAL SBARQ
81.0 NONTERMINAL ADJP
30.0 NONTERMINAL WHADVP
1808.0 NONTERMINAL DET
1.0 NONTERMINAL S+VP+VERB
2.0 NONTERMINAL NP+QP
2.0 NONTERMINAL NP+S
11.0 NONTERMINAL SBAR+S
3.0 NONTERMINAL NP+X
3.0 NONTERMINAL NP+NP
251.0 NONTERMINAL SQ+VP
68.0 NONTERMINAL CONJ
569.0 NONTERMINAL WHNP
301.0 NONTERMINAL WHADVP+ADV
85.0 NONTERMINAL S
1.0 NONTERMINAL NX
1024.0 NONTERMINAL PP
3852.0 NONTERMINAL NOUN
4.0 NONTERMINAL NP+ADJ
27.0 NONTERMINAL PRT+PRT
280.0 NONTERMINAL PRT
1.0 NONTERMINAL WHNP+WHNP
2032.0 NONTERMINAL .
1.0 NONTERMINAL PP+NOUN
24.0 NONTERMINAL WHPP
103.0 NONTERMINAL NUM
50.0 NONTERMINAL NP+NUM
4813.0 NONTERMINAL NP
90.0 NONTERMINAL S+VP
25.0 NONTERMINAL NP+DET
244.0 NONTERMINAL ADV
16.0 NONTERMINAL VP+NOUN
19.0 NONTERMINAL ADJP+ADJ
1010.0 NONTERMINAL ADP
1.0 NONTERMINAL NP+PP
1.0 NONTERMINAL PP+PP+ADP
2.0 NONTERMINAL ADVP+ADJ
803.0 NONTERMINAL VP
6.0 NONTERMINAL PP+PRT
817.0 NONTERMINAL WHNP+PRON
2349.0 NONTERMINAL VERB
1.0 NONTERMINAL NP+S+VP
17.0 NONTERMINAL X
656.0 NONTERMINAL NP+NOUN
916.0 NONTERMINAL ADJ
14.0 NONTERMINAL ADVP
10.0 NONTERMINAL SBAR+S+VP
7.0 NONTERMINAL QP
23.0 NONTERMINAL WHNP+DET
2081.0 NONTERMINAL SQ
38.0 NONTERMINAL ADVP+ADV
2.0 NONTERMINAL NP+VERB
124.0 NONTERMINAL WHADJP
114.0 NONTERMINAL NP+PRON
73.0 NONTERMINAL PRON
1.0 NONTERMINAL NP+SBAR+S
1.0 NONTERMINAL VP+S+VP
1.0 NONTERMINAL SBAR+VP
113.0 NONTERMINAL PP+ADP
11.0 BINARYRULE PP PP PP
10.0 BINARYRULE SBAR WHADVP+ADV S
85.0 BINARYRULE NP NP NOUN
1.0 BINARYRULE ADJP NOUN ADJ
2.0 BINARYRULE SBARQ SQ SBARQ
79.0 BINARYRULE SQ+VP VERB VP
2.0 BINARYRULE SBARQ SBARQ SBARQ
1.0 BINARYRULE SQ VERB S+VP
3.0 BINARYRULE VP ADV VP
2.0 BINARYRULE SQ NP VERB
26.0 BINARYRULE NP ADJP NOUN
1.0 BINARYRULE ADJP NUM ADJ
3.0 BINARYRULE NP NP+DET PP
17.0 BINARYRULE SBAR WHNP+DET S+VP
1.0 BINARYRULE VP NOUN PP
1.0 BINARYRULE S NP+NUM VP
1.0 BINARYRULE WHPP PRT WHNP+DET
505.0 BINARYRULE SBARQ WHNP SBARQ
1.0 BINARYRULE SBARQ WHNP+DET SBARQ
2.0 BINARYRULE NP ADJ ADJ
1.0 BINARYRULE NP NOUN ADV
3.0 BINARYRULE WHNP NOUN NOUN
1.0 BINARYRULE NP DET X
3.0 BINARYRULE SQ NP+NOUN PP
4.0 BINARYRULE VP ADVP+ADV VP+VERB
1.0 BINARYRULE VP . NP+S
1.0 BINARYRULE WHNP NP NOUN
9.0 BINARYRULE SQ NP PP
1.0 BINARYRULE NP NP PP+PRT
3.0 BINARYRULE VP NP S+VP
1.0 BINARYRULE ADJP ADVP VERB
263.0 BINARYRULE WHNP DET NOUN
1.0 BINARYRULE SQ NP+NOUN ADJP+ADJ
2.0 BINARYRULE VP VERB WHNP
2.0 BINARYRULE VP ADJP PP
2.0 BINARYRULE SBAR+S NP+PRON VP
1.0 BINARYRULE NP+SBAR+S ADVP+ADV S
1.0 BINARYRULE SQ+VP VP VP
4.0 BINARYRULE SQ NP+PRON SQ
619.0 BINARYRULE SQ VERB SQ
1.0 BINARYRULE SQ VERB VP+VERB
18.0 BINARYRULE SQ VERB PP
286.0 BINARYRULE PP ADP NP+NOUN
1.0 BINARYRULE ADJP . ADJ
2.0 BINARYRULE VP VERB ADJP
2.0 BINARYRULE SBARQ CONJ SBARQ
1.0 BINARYRULE SBAR SQ+VP .
1.0 BINARYRULE NP NP WHPP
1.0 BINARYRULE ADVP ADV .
1.0 BINARYRULE VP . S
1.0 BINARYRULE VP ADV NP
579.0 BINARYRULE NP DET NOUN
1.0 BINARYRULE NP NP+NOUN .
5.0 BINARYRULE SBAR+S NP VP
7.0 BINARYRULE S+VP PRT VP+VERB
62.0 BINARYRULE SQ NP+NOUN VP
1.0 BINARYRULE SQ NP NP+NOUN
6.0 BINARYRULE VP PRT+PRT VP
1.0 BINARYRULE VP NP ADVP
1.0 BINARYRULE ADJP ADJP ADJP
1.0 BINARYRULE SQ VERB ADJP+ADJ
8.0 BINARYRULE SQ NP NP
1.0 BINARYRULE NP ADJ NP+NOUN
9.0 BINARYRULE SBAR+S+VP PRT VP
1.0 BINARYRULE WHPP PRT WHNP+PRON
3.0 BINARYRULE WHADVP ADV PP
1.0 BINARYRULE VP VERB NP+S+VP
3.0 BINARYRULE PP ADP NP+ADJ
20.0 BINARYRULE WHNP WHNP PP
1.0 BINARYRULE SQ+VP ADVP VP
1.0 BINARYRULE SBARQ WHNP SQ+VP
1.0 BINARYRULE WHADJP ADV ADJP
3.0 BINARYRULE ADJP ADV ADJP
20.0 BINARYRULE WHNP WHADJP NP
42.0 BINARYRULE NP PRON NOUN
17.0 BINARYRULE NP . NOUN
6.0 BINARYRULE NP ADV NP
1.0 BINARYRULE VP CONJ VP+VERB
11.0 BINARYRULE SQ NP PP+ADP
1.0 BINARYRULE SQ+VP VERB SBAR
12.0 BINARYRULE VP VERB SBAR
1.0 BINARYRULE PP ADP NP+PRON
2.0 BINARYRULE NP NP+NOUN SBAR
1.0 BINARYRULE SBAR WHNP+DET VP
10.0 BINARYRULE PP PRT NP+NOUN
1.0 BINARYRULE VP NP+NUM PP
1.0 BINARYRULE VP PP+PRT PP
1.0 BINARYRULE NP . S+VP
2.0 BINARYRULE SQ VERB ADVP
1.0 BINARYRULE NP ADJP ADVP
1.0 BINARYRULE NP NP NP+PP
3.0 BINARYRULE WHADVP ADV ADJ
1.0 BINARYRULE NP+PP PP PP
1.0 BINARYRULE ADJP X .
1.0 BINARYRULE SQ NP+NP VP+VERB
1.0 BINARYRULE VP NP+NOUN VP
1.0 BINARYRULE NP+S+VP VERB VP
12.0 BINARYRULE S NP+PRON VP
1.0 BINARYRULE ADJP ADJ PP+PRT
1.0 BINARYRULE PP PRT VP
3.0 BINARYRULE VP NP PP+ADP
2.0 BINARYRULE NP X X
1.0 BINARYRULE VP NP PP+NOUN
1.0 BINARYRULE NP NP NX
1.0 BINARYRULE NP PRON PRT
4.0 BINARYRULE NP QP NOUN
323.0 BINARYRULE NP NOUN NP
1.0 BINARYRULE NP+NP NP PP
5.0 BINARYRULE WHADJP ADV ADV
164.0 BINARYRULE WHNP DET NP
30.0 BINARYRULE NP NP SBAR
1.0 BINARYRULE VP NP+NP PP
1.0 BINARYRULE SBAR+S NP S
40.0 BINARYRULE PP ADP NP+NUM
20.0 BINARYRULE SBARQ WHPP SBARQ
283.0 BINARYRULE SBARQ WHADVP+ADV SBARQ
1.0 BINARYRULE SBARQ NP .
138.0 BINARYRULE NP NP NP
1.0 BINARYRULE NP NUM .
1.0 BINARYRULE NP NP NP+ADVP
2.0 BINARYRULE VP NP NP
1.0 BINARYRULE VP NOUN NP
4.0 BINARYRULE S VP S
1.0 BINARYRULE VP PRT+PRT SBAR
3.0 BINARYRULE VP VERB ADJP+ADJ
2.0 BINARYRULE WHNP WHADJP WHNP
3.0 BINARYRULE WHNP PRON WHNP
6.0 BINARYRULE VP PRT VP
46.0 BINARYRULE VP NP PP
1.0 BINARYRULE SBAR+VP PRT VP
2.0 BINARYRULE VP . PP
1.0 BINARYRULE VP VP+VERB VP
8.0 BINARYRULE NP CONJ NP+NOUN
2.0 BINARYRULE QP ADP NUM
3.0 BINARYRULE NP X .
1.0 BINARYRULE WHNP WHNP NP+NOUN
1.0 BINARYRULE VP NP VERB
172.0 BINARYRULE SQ NP VP+VERB
3.0 BINARYRULE S+VP VERB ADJP+ADJ
1.0 BINARYRULE S+VP VERB NP+NP
2.0 BINARYRULE SBARQ WHADVP+ADV SQ
1.0 BINARYRULE NP . DET
1.0 BINARYRULE NP+QP ADJ QP
1.0 BINARYRULE WHNP DET S
1.0 BINARYRULE WHNP WHADJP PP
2.0 BINARYRULE VP CONJ VERB
1.0 BINARYRULE VP VERB ADVP
28.0 BINARYRULE NP NP+NOUN NP
1.0 BINARYRULE ADJP ADJ PP+ADP
15.0 BINARYRULE NP NOUN NUM
1.0 BINARYRULE VP NOUN NP+NOUN
1.0 BINARYRULE VP+S+VP PRT VP
4.0 BINARYRULE NP NP+NOUN VP
17.0 BINARYRULE ADJP ADV ADJ
1.0 BINARYRULE SQ ADV VP
1.0 BINARYRULE NP NP+NUM PP
1.0 BINARYRULE VP NP+PRON PP
1.0 BINARYRULE ADVP CONJ ADV
1.0 BINARYRULE VP NP VP+S+VP
1.0 BINARYRULE PP NP PP
13.0 BINARYRULE S NP VP
3.0 BINARYRULE S+VP . VP
5.0 BINARYRULE ADJP . ADJP
21.0 BINARYRULE SBAR ADP S
1.0 BINARYRULE SQ NP NP+VERB
4.0 BINARYRULE SQ NP ADJP+ADJ
1.0 BINARYRULE NP ADJ .
2.0 BINARYRULE NP+S NP VP
2.0 BINARYRULE NP NP ADJP
8.0 BINARYRULE SQ ADVP+ADV VP
1.0 BINARYRULE SQ VP SBAR
1.0 BINARYRULE WHNP WHNP NP
45.0 BINARYRULE NP NUM NOUN
1.0 BINARYRULE ADVP ADVP PP
1.0 BINARYRULE SQ VP+VERB SQ
4.0 BINARYRULE SQ NP SBAR
1.0 BINARYRULE NP NOUN X
1.0 BINARYRULE QP ADJ QP
6.0 BINARYRULE S NP+NOUN VP
2.0 BINARYRULE VP ADVP+ADV PP
4.0 BINARYRULE WHNP DET WHNP
1.0 BINARYRULE NP NP+NUM PP+ADP
3.0 BINARYRULE SBARQ PP SBARQ
1.0 BINARYRULE SBARQ SQ+VP SBARQ
58.0 BINARYRULE WHNP WHADJP NOUN
2.0 BINARYRULE NP NOUN SBAR
5.0 BINARYRULE SBAR WHNP+PRON S+VP
2.0 BINARYRULE WHNP ADV ADJ
3.0 BINARYRULE SQ+VP VERB S+VP
2.0 BINARYRULE WHADVP WHADVP PP
5.0 BINARYRULE ADJP ADJ ADJP
12.0 BINARYRULE VP NP+NOUN PP
2.0 BINARYRULE VP NP+PRON NP
5.0 BINARYRULE WHNP DET NP+NOUN
1.0 BINARYRULE SBARQ VP .
1.0 BINARYRULE NP QP PP
1.0 BINARYRULE NP VERB PP
216.0 BINARYRULE NP ADJ NP
8.0 BINARYRULE SQ NP+NOUN PP+ADP
1.0 BINARYRULE VP NP ADVP+ADJ
1.0 BINARYRULE VP VERB PP+PP+ADP
1.0 BINARYRULE QP DET NOUN
1.0 BINARYRULE NP ADJP NP+NOUN
2.0 BINARYRULE VP . NP
1.0 BINARYRULE ADJP NOUN VERB
1.0 BINARYRULE PP ADP NP+VERB
2.0 BINARYRULE ADJP CONJ ADJP
2.0 BINARYRULE VP VERB S
1.0 BINARYRULE NP+NP DET NP
12.0 BINARYRULE VP ADVP+ADV VP
1.0 BINARYRULE NP . NP+NUM
24.0 BINARYRULE VP VERB S+VP
2.0 BINARYRULE WHNP WHNP+DET PP
1.0 BINARYRULE S . S
6.0 BINARYRULE PP ADP PP
1.0 BINARYRULE NP ADJP PP
15.0 BINARYRULE NP . NP+NOUN
1.0 BINARYRULE SQ VERB SBAR+S
7.0 BINARYRULE S NP S
1.0 BINARYRULE ADVP . ADVP
2.0 BINARYRULE NP NP PRT
1.0 BINARYRULE NP+ADVP . ADVP
1.0 BINARYRULE WHPP ADP WHNP+PRON
3.0 BINARYRULE VP . VP
2.0 BINARYRULE S+VP VERB NP+NOUN
1.0 BINARYRULE NP PP PP
1.0 BINARYRULE NP PP VP
1.0 BINARYRULE VP NP+NOUN ADVP
2.0 BINARYRULE VP PRT+PRT PP+ADP
2.0 BINARYRULE ADJP ADJ S+VP
5.0 BINARYRULE SBAR WHADVP+ADV S+VP
1.0 BINARYRULE VP VP VP
3.0 BINARYRULE NP DET NUM
2.0 BINARYRULE NP VERB .
1.0 BINARYRULE PP PRT NOUN
1.0 BINARYRULE SQ NP+PRON ADJP
2.0 BINARYRULE VP VP NP
3.0 BINARYRULE SBARQ SBAR SBARQ
2.0 BINARYRULE SBARQ . .
6.0 BINARYRULE WHNP PRON NOUN
1.0 BINARYRULE SBARQ WHNP+PRON SQ+VP
1.0 BINARYRULE SQ VP+VERB NP
1.0 BINARYRULE S+VP VERB ADVP+ADV
27.0 BINARYRULE VP VERB NP+NOUN
15.0 BINARYRULE SQ+VP VERB NP+NOUN
117.0 BINARYRULE NP . NP
4.0 BINARYRULE S NP VP+VERB
28.0 BINARYRULE SQ NP+NOUN VP+VERB
1.0 BINARYRULE NP NP S
10.0 BINARYRULE ADJP ADJ PP
11.0 BINARYRULE NP NP S+VP
1.0 BINARYRULE NP ADJ NUM
2.0 BINARYRULE WHADVP ADV WHADVP
1.0 BINARYRULE NP+QP DET NUM
9.0 BINARYRULE NP DET ADJ
26.0 BINARYRULE NP NUM NP
2.0 BINARYRULE VP ADVP+ADV VERB
1.0 BINARYRULE VP VERB ADVP+ADJ
1.0 BINARYRULE NP ADV .
103.0 BINARYRULE VP VERB VP
1.0 BINARYRULE NP PRON .
6.0 BINARYRULE NP X NP
6.0 BINARYRULE NP NP SBAR+S
1.0 BINARYRULE PP ADV PP
1.0 BINARYRULE ADJP ADP WHNP+PRON
1.0 BINARYRULE SQ+VP VERB ADVP+ADV
1.0 BINARYRULE SQ VERB NP+X
1.0 BINARYRULE SBAR+S NP+NOUN VP
1.0 BINARYRULE ADJP ADV VERB
2.0 BINARYRULE SQ NP+X VP+NOUN
1.0 BINARYRULE NP CONJ NP+NUM
1.0 BINARYRULE SQ NP+NOUN ADVP
1.0 BINARYRULE VP PP VP
2.0 BINARYRULE NP NP+NOUN VP+VERB
3.0 BINARYRULE SQ NP+NOUN SQ
1.0 BINARYRULE VP . S+VP
1.0 BINARYRULE WHNP+WHNP DET NP
1.0 BINARYRULE QP DET NUM
1.0 BINARYRULE SQ ADV SQ
9.0 BINARYRULE NP VERB NOUN
1.0 BINARYRULE SBAR WHNP SBAR
1.0 BINARYRULE ADJP . SBAR+S
2.0 BINARYRULE VP ADJ VP
121.0 BINARYRULE SQ+VP VERB NP
2.0 BINARYRULE NP NP ADJ
247.0 BINARYRULE SBARQ SQ+VP .
1.0 BINARYRULE SBAR WHADVP+ADV PP
3.0 BINARYRULE ADVP ADV PP
2.0 BINARYRULE NP NOUN ADJ
2.0 BINARYRULE ADVP ADV ADVP
1.0 BINARYRULE VP ADJP+ADJ PP
168.0 BINARYRULE SQ NP VP
2.0 BINARYRULE VP VP SBAR
3.0 BINARYRULE NP NP .
1.0 BINARYRULE PP . PP
0.00344488188976 UNARYRULE_FREQ . _RARE_
0.799265605875 UNARYRULE_FREQ WHNP+PRON What
0.000778816199377 UNARYRULE_FREQ NOUN British
0.00147637795276 UNARYRULE_FREQ . <
0.00155763239875 UNARYRULE_FREQ NOUN horse
0.0015243902439 UNARYRULE_FREQ NP+NOUN Washington
0.00181723779855 UNARYRULE_FREQ NOUN war
0.00327510917031 UNARYRULE_FREQ ADJ Great
0.00808854831843 UNARYRULE_FREQ VERB get
0.0708661417323 UNARYRULE_FREQ VP+VERB called
0.041095890411 UNARYRULE_FREQ PRON what
0.5 UNARYRULE_FREQ NP+VERB called
0.000553097345133 UNARYRULE_FREQ DET that
0.0152838427948 UNARYRULE_FREQ ADJ much
0.782608695652 UNARYRULE_FREQ WHNP+DET that
0.00129802699896 UNARYRULE_FREQ NOUN house
0.016393442623 UNARYRULE_FREQ ADV how
0.00655021834061 UNARYRULE_FREQ ADJ different
0.0109034267913 UNARYRULE_FREQ NOUN year
0.00103842159917 UNARYRULE_FREQ NOUN animal
0.00553426990209 UNARYRULE_FREQ VERB have
0.00545851528384 UNARYRULE_FREQ ADJ last
0.00155763239875 UNARYRULE_FREQ NOUN language
0.0015243902439 UNARYRULE_FREQ NP+NOUN school
0.0015243902439 UNARYRULE_FREQ NP+NOUN color
0.0398671096346 UNARYRULE_FREQ WHADVP+ADV when
0.815789473684 UNARYRULE_FREQ ADVP+ADV _RARE_
0.00762195121951 UNARYRULE_FREQ NP+NOUN Earth
0.000425713069391 UNARYRULE_FREQ VERB mean
0.00181723779855 UNARYRULE_FREQ NOUN countries
0.00655021834061 UNARYRULE_FREQ ADJ high
0.00129802699896 UNARYRULE_FREQ NOUN years
0.0015243902439 UNARYRULE_FREQ NP+NOUN animal
0.00129802699896 UNARYRULE_FREQ NOUN William
0.00393700787402 UNARYRULE_FREQ VP+VERB fear
0.00181723779855 UNARYRULE_FREQ NOUN point
0.0049504950495 UNARYRULE_FREQ ADP before
0.0168316831683 UNARYRULE_FREQ ADP In
0.333333333333 UNARYRULE_FREQ PRT+PRT out
0.000519210799585 UNARYRULE_FREQ NOUN power
0.00393700787402 UNARYRULE_FREQ VP+VERB write
0.0905511811024 UNARYRULE_FREQ VP+VERB born
0.00425713069391 UNARYRULE_FREQ VERB become
0.00129802699896 UNARYRULE_FREQ NOUN ball
0.0015243902439 UNARYRULE_FREQ NP+NOUN average
0.000778816199377 UNARYRULE_FREQ NOUN types
0.00129802699896 UNARYRULE_FREQ NOUN song
0.947368421053 UNARYRULE_FREQ ADJP+ADJ _RARE_
0.00393700787402 UNARYRULE_FREQ VP+VERB founded
0.00611995104039 UNARYRULE_FREQ WHNP+PRON what
0.289473684211 UNARYRULE_FREQ NP+PRON I
0.0196850393701 UNARYRULE_FREQ VP+VERB located
0.00441329179647 UNARYRULE_FREQ NOUN population
0.00170285227756 UNARYRULE_FREQ VERB painted
0.000259605399792 UNARYRULE_FREQ NOUN France
0.000425713069391 UNARYRULE_FREQ VERB born
0.011811023622 UNARYRULE_FREQ VP+VERB live
0.557142857143 UNARYRULE_FREQ PRT <s
0.0676855895197 UNARYRULE_FREQ ADJ first
0.000778816199377 UNARYRULE_FREQ NOUN London
0.0015243902439 UNARYRULE_FREQ NP+NOUN sport
0.00545851528384 UNARYRULE_FREQ ADJ South
0.00103842159917 UNARYRULE_FREQ NOUN miles
0.00457317073171 UNARYRULE_FREQ NP+NOUN miles
0.00109170305677 UNARYRULE_FREQ ADJ New
0.00884955752212 UNARYRULE_FREQ PP+ADP as
0.00787401574803 UNARYRULE_FREQ VP+VERB form
0.037037037037 UNARYRULE_FREQ PRT+PRT into
0.0161770966369 UNARYRULE_FREQ VERB has
0.00155763239875 UNARYRULE_FREQ NOUN America
0.00764192139738 UNARYRULE_FREQ ADJ British
0.00129802699896 UNARYRULE_FREQ NOUN battle
0.0157480314961 UNARYRULE_FREQ VP+VERB do
0.00982532751092 UNARYRULE_FREQ ADJ best
0.00129802699896 UNARYRULE_FREQ NOUN group
0.00233644859813 UNARYRULE_FREQ NOUN person
0.0580708661417 UNARYRULE_FREQ . <<
0.00723712217965 UNARYRULE_FREQ VERB Name
0.00655021834061 UNARYRULE_FREQ ADJ top
0.00129802699896 UNARYRULE_FREQ NOUN Mississippi
0.0536398467433 UNARYRULE_FREQ VERB are
0.0015243902439 UNARYRULE_FREQ NP+NOUN America
0.00762195121951 UNARYRULE_FREQ NP+NOUN place
0.000519210799585 UNARYRULE_FREQ NOUN French
0.00787401574803 UNARYRULE_FREQ VP+VERB cost
0.00609756097561 UNARYRULE_FREQ NP+NOUN Texas
0.00207684319834 UNARYRULE_FREQ NOUN names
0.00664451827243 UNARYRULE_FREQ WHADVP+ADV how
0.000519210799585 UNARYRULE_FREQ NOUN mean
0.00792079207921 UNARYRULE_FREQ ADP that
0.0772277227723 UNARYRULE_FREQ ADP for
0.00207684319834 UNARYRULE_FREQ NOUN colors
0.000778816199377 UNARYRULE_FREQ NOUN animals
0.00103842159917 UNARYRULE_FREQ NOUN sport
0.00109170305677 UNARYRULE_FREQ ADJ mountain
0.00982532751092 UNARYRULE_FREQ ADJ highest
0.0174672489083 UNARYRULE_FREQ ADJ largest
0.0030487804878 UNARYRULE_FREQ NP+NOUN President
0.0655598126862 UNARYRULE_FREQ VERB did
0.0030487804878 UNARYRULE_FREQ NP+NOUN types
0.00393700787402 UNARYRULE_FREQ VP+VERB be
0.00545851528384 UNARYRULE_FREQ ADJ common
1.0 UNARYRULE_FREQ S+VP+VERB _RARE_
0.232558139535 UNARYRULE_FREQ WHADVP+ADV How
0.0046828437633 UNARYRULE_FREQ VERB invented
0.610655737705 UNARYRULE_FREQ ADV How
0.00285565939772 UNARYRULE_FREQ NOUN capital
0.701453790239 UNARYRULE_FREQ NOUN _RARE_
0.000519210799585 UNARYRULE_FREQ NOUN earth
0.00982532751092 UNARYRULE_FREQ ADJ real
0.0137195121951 UNARYRULE_FREQ NP+NOUN people
0.000778816199377 UNARYRULE_FREQ NOUN Earth
0.00734394124847 UNARYRULE_FREQ WHNP+PRON who
0.00387168141593 UNARYRULE_FREQ DET which
0.00297999148574 UNARYRULE_FREQ VERB died
0.00285565939772 UNARYRULE_FREQ NOUN word
0.00982532751092 UNARYRULE_FREQ ADJ national
0.00155763239875 UNARYRULE_FREQ NOUN flight
0.150442477876 UNARYRULE_FREQ PP+ADP of
0.00212856534696 UNARYRULE_FREQ VERB said
0.00415368639668 UNARYRULE_FREQ NOUN United
0.00181723779855 UNARYRULE_FREQ NOUN date
0.000259605399792 UNARYRULE_FREQ NOUN Texas
0.00762195121951 UNARYRULE_FREQ NP+NOUN president
0.0030487804878 UNARYRULE_FREQ NP+NOUN London
0.10515112814 UNARYRULE_FREQ VERB was
0.0263157894737 UNARYRULE_FREQ ADVP+ADV after
0.00363447559709 UNARYRULE_FREQ NOUN color
0.00764192139738 UNARYRULE_FREQ ADJ average
0.00129802699896 UNARYRULE_FREQ NOUN water
0.000259605399792 UNARYRULE_FREQ NOUN Spanish
0.0030487804878 UNARYRULE_FREQ NP+NOUN animals
0.00233644859813 UNARYRULE_FREQ NOUN John
0.00103842159917 UNARYRULE_FREQ NOUN play
0.00545851528384 UNARYRULE_FREQ ADJ tallest
0.00393700787402 UNARYRULE_FREQ VP+VERB make
0.882352941176 UNARYRULE_FREQ CONJ and
0.00233644859813 UNARYRULE_FREQ NOUN number
0.00207684319834 UNARYRULE_FREQ NOUN character
0.013698630137 UNARYRULE_FREQ PRON it
0.00155763239875 UNARYRULE_FREQ NOUN school
0.011811023622 UNARYRULE_FREQ VP+VERB open
0.00212856534696 UNARYRULE_FREQ VERB located
0.0157480314961 UNARYRULE_FREQ VP+VERB work
0.00129802699896 UNARYRULE_FREQ NOUN eye
0.000259605399792 UNARYRULE_FREQ NOUN Liberty
0.00285565939772 UNARYRULE_FREQ NOUN River
0.00181723779855 UNARYRULE_FREQ NOUN abbreviation
0.00181723779855 UNARYRULE_FREQ NOUN home
0.00129802699896 UNARYRULE_FREQ NOUN party
0.00127713920817 UNARYRULE_FREQ VERB buried
0.00311526479751 UNARYRULE_FREQ NOUN War
0.000425713069391 UNARYRULE_FREQ VERB open
0.00129802699896 UNARYRULE_FREQ NOUN star
0.00155763239875 UNARYRULE_FREQ NOUN currency
0.00122399020808 UNARYRULE_FREQ WHNP+PRON _RARE_
0.0353982300885 UNARYRULE_FREQ PP+ADP with
0.00129802699896 UNARYRULE_FREQ NOUN team
0.412280701754 UNARYRULE_FREQ NP+PRON you
0.000778816199377 UNARYRULE_FREQ NOUN Australia
0.00129802699896 UNARYRULE_FREQ NOUN birthstone
0.0275590551181 UNARYRULE_FREQ VP+VERB have
0.00393700787402 UNARYRULE_FREQ VP+VERB find
0.00327510917031 UNARYRULE_FREQ ADJ long
0.00246062992126 UNARYRULE_FREQ . :
0.130434782609 UNARYRULE_FREQ WHNP+DET Which
0.037037037037 UNARYRULE_FREQ PRT+PRT for
0.00594059405941 UNARYRULE_FREQ ADP after
0.00787401574803 UNARYRULE_FREQ VP+VERB become
0.0442477876106 UNARYRULE_FREQ PP+ADP into
0.0030487804878 UNARYRULE_FREQ NP+NOUN office
0.00787401574803 UNARYRULE_FREQ VP+VERB use
0.011811023622 UNARYRULE_FREQ VP+VERB died
0.00129802699896 UNARYRULE_FREQ NOUN college
0.00389408099688 UNARYRULE_FREQ NOUN game
0.00545851528384 UNARYRULE_FREQ ADJ black
0.283950617284 UNARYRULE_FREQ VERB is
0.00276548672566 UNARYRULE_FREQ DET some
0.0275590551181 UNARYRULE_FREQ VP+VERB mean
0.00457317073171 UNARYRULE_FREQ NP+NOUN baseball
0.00129802699896 UNARYRULE_FREQ NOUN percentage
0.205479452055 UNARYRULE_FREQ PRON his
0.00830737279335 UNARYRULE_FREQ NOUN world
0.00393700787402 UNARYRULE_FREQ VP+VERB did
0.00285565939772 UNARYRULE_FREQ NOUN origin
0.0015243902439 UNARYRULE_FREQ NP+NOUN battle
0.5 UNARYRULE_FREQ NP+VERB _RARE_
0.0464285714286 UNARYRULE_FREQ PRT <
0.00109170305677 UNARYRULE_FREQ ADJ capital
0.0526315789474 UNARYRULE_FREQ ADJP+ADJ open
0.00207684319834 UNARYRULE_FREQ NOUN woman
0.00285565939772 UNARYRULE_FREQ NOUN sun
0.0491803278689 UNARYRULE_FREQ ADV far
0.04 UNARYRULE_FREQ NP+DET that
0.0154867256637 UNARYRULE_FREQ DET Which
0.0148999574287 UNARYRULE_FREQ VERB can
0.131578947368 UNARYRULE_FREQ NP+PRON it
0.0046828437633 UNARYRULE_FREQ VERB makes
0.834153543307 UNARYRULE_FREQ . ?
0.0131971051511 UNARYRULE_FREQ VERB <s
1.0 UNARYRULE_FREQ PP+NOUN _RARE_
0.0129802699896 UNARYRULE_FREQ NOUN city
0.0157480314961 UNARYRULE_FREQ VP+VERB made
0.0148514851485 UNARYRULE_FREQ ADP with
0.00129802699896 UNARYRULE_FREQ NOUN World
0.358803986711 UNARYRULE_FREQ WHADVP+ADV When
0.18482252142 UNARYRULE_FREQ WHNP+PRON Who
0.00393700787402 UNARYRULE_FREQ VP+VERB used
0.00129802699896 UNARYRULE_FREQ NOUN leader
0.00259605399792 UNARYRULE_FREQ NOUN nickname
0.019801980198 UNARYRULE_FREQ ADP by
0.00212856534696 UNARYRULE_FREQ VERB killed
0.00393700787402 UNARYRULE_FREQ VP+VERB start
0.00181723779855 UNARYRULE_FREQ NOUN dog
0.00129802699896 UNARYRULE_FREQ NOUN Lincoln
0.392857142857 UNARYRULE_FREQ PRT to
0.00510855683269 UNARYRULE_FREQ VERB come
0.00762195121951 UNARYRULE_FREQ NP+NOUN Mars
0.00752855659398 UNARYRULE_FREQ NOUN state
0.000425713069391 UNARYRULE_FREQ VERB name
0.00155763239875 UNARYRULE_FREQ NOUN governor
0.00155763239875 UNARYRULE_FREQ NOUN Tower
0.00664451827243 UNARYRULE_FREQ WHADVP+ADV _RARE_
0.00609756097561 UNARYRULE_FREQ NP+NOUN earth
0.000778816199377 UNARYRULE_FREQ NOUN musical
0.00207684319834 UNARYRULE_FREQ NOUN US
0.016592920354 UNARYRULE_FREQ DET an
0.00609756097561 UNARYRULE_FREQ NP+NOUN Spanish
0.00103842159917 UNARYRULE_FREQ NOUN mountain
0.00545851528384 UNARYRULE_FREQ ADJ fastest
0.0015243902439 UNARYRULE_FREQ NP+NOUN company
0.0015243902439 UNARYRULE_FREQ NP+NOUN state
